Code,District,"TOTAL Supply (2010, Af)","Local Groundwater (2010, AF)","Local Surface Water (2010, AF)","Local Desalination (2010, AF)","Local Recycled (2010, AF)","SFRW (2010, AF)","SWP (2010, AF)","Vallejo Permit (2010, AF)","Vallejo Treated (2010, AF)","Napa Treated (2010, AF)","TOTAL USE (2010, AF)","Residential (2010, AF)","Commercial (2010, AF)","Industrial (2010, AF)","Landscape (2010, AF)","Ag (2010, AF)","Institutional (2010, AF)",# Rebate Programs,,,,,
346,"Shafter, City of",,,,,,,,,,,,,,,,,,,,,,,
347,"Shasta Lake, City of",,,,,,,,,,,,,,,,,,,,,,,
348,"Sierra Madre, City of",,,,,,,,,,,,,,,,,,,,,,,
349,Solano County Water Agency,,,,,,,,,,,,,,,,,,,,,,,
350,"Soledad, City of",,,,,,,,,,,,,,,,,,,,,,,
351,"Sonoma, City of",,,,,,,,,,,,,,,,,,,,,,,
352,Sonoma County Water Agency,,,,,,,,,,,,,,,,,,,,,,,
353,Soquel Creek Water District,,,,,,,,,,,,,,,,,,,,,,,
354,South Coast Water District,,,,,,,,,,,,,,,,,,,,,,,
355,South Feather Water & Power,,,,,,,,,,,,,,,,,,,,,,,
356,"South Gate, City of",,,,,,,,,,,,,,,,,,,,,,,
357,"South Pasadena, City of",,,,,,,,,,,,,,,,,,,,,,,
358,South San Joaquin Irrigation District,,,,,,,,,,,,,,,,,,,,,,,
359,South Tahoe Public Utility District,,,,,,,,,,,,,,,,,,,,,,,
360,Stallion Springs Community Services District,,,,,,,,,,,,,,,,,,,,,,,
361,"Stockton, City of",,,,,,,,,,,,,,,,,,,,,,,
362,Stockton East Water District,,,,,,,,,,,,,,,,,,,,,,,
363,Suburban Water Systems - San Jose Hills,,,,,,,,,,,,,,,,,,,,,,,
364,Suburban Water Systems Whittier-La Mirada,,,,,,,,,,,,,,,,,,,,,,,
365,Suisun Solano Water Authority,,,,,,,,,,,,,,,,,,,,,,,
366,Sunny Slope County Water District,,,,,,,,,,,,,,,,,,,,,,,
367,Sunny Slope Water Company,,,,,,,,,,,,,,,,,,,,,,,
368,"Sunnyvale, City of",,,,,,,,,,,,,,,,,,,,,,,
369,"Susanville, City of",,,,,,,,,,,,,,,,,,,,,,,
370,Sweetwater Authority,,,,,,,,,,,,,,,,,,,,,,,
371,Sweetwater Springs Water District,,,,,,,,,,,,,,,,,,,,,,,
372,Tahoe City Public Utility,,,,,,,,,,,,,,,,,,,,,,,
373,Tehachapi Regional Alliance,,,,,,,,,,,,,,,,,,,,,,,
374,"Thousand Oaks, City of",,,,,,,,,,,,,,,,,,,,,,,
375,Three Valleys Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
376,"Torrance, City of",,,,,,,,,,,,,,,,,,,,,,,
377,Trabuco Canyon Water District,,,,,,,,,,,,,,,,,,,,,,,
378,"Tracy, City of",,,,,,,,,,,,,,,,,,,,,,,
379,Triunfo Sanitation District,,,,,,,,,,,,,,,,,,,,,,,
380,Truckee-Donner Public Utilities District,,,,,,,,,,,,,,,,,,,,,,,
381,"Tulare, City of",,,,,,,,,,,,,,,,,,,,,,,
382,Tuolumne Utilities District,,,,,,,,,,,,,,,,,,,,,,,
383,"Turlock, City of",,,,,,,,,,,,,,,,,,,,,,,
384,"Tustin, City of",,,,,,,,,,,,,,,,,,,,,,,
385,Twentynine Palms Water District,,,,,,,,,,,,,,,,,,,,,,,
386,"Ukiah, City of",,,,,,,,,,,,,,,,,,,,,,,
387,United Water Conservation District,,,,,,,,,,,,,,,,,,,,,,,
388,"Upland, City of",,,,,,,,,,,,,,,,,,,,,,,
389,Upper San Gabriel Valley Municipal Water Disrtict,,,,,,,,,,,,,,,,,,,,,,,
390,"Vacaville, City of",,,,,,,,,,,,,,,,,,,,,,,
391,Valencia Water Company,,,,,,,,,,,,,,,,,,,,,,,
392,Vallecitos Water District,,,,,,,,,,,,,,,,,,,,,,,
393,"Vallejo, City of",,,,,,,,,,,,,,,,,,,,,,,
394,Valley Center Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
395,Valley County Water District,,,,,,,,,,,,,,,,,,,,,,,
396,Valley Water Company,,,,,,,,,,,,,,,,,,,,,,,
397,Valley of the Moon Water District,,,,,,,,,,,,,,,,,,,,,,,
398,Vaughn Water Company,,,,,,,,,,,,,,,,,,,,,,,
399,Ventura County Waterworks District #1,,,,,,,,,,,,,,,,,,,,,,,
400,Ventura County Waterworks District #8,,,,,,,,,,,,,,,,,,,,,,,
401,"Vernon, City of",,,,,,,,,,,,,,,,,,,,,,,
402,Victorville Water District,,,,,,,,,,,,,,,,,,,,,,,
403,Vista Irrigation District,,,,,,,,,,,,,,,,,,,,,,,
404,Walnut Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
405,"Wasco, City of",,,,,,,,,,,,,,,,,,,,,,,
406,Water Facilities Authority,,,,,,,,,,,,,,,,,,,,,,,
407,"Watsonville, City of",,,,,,,,,,,,,,,,,,,,,,,
408,West Basin Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
409,West Kern Water District,,,,,,,,,,,,,,,,,,,,,,,
410,"West Sacramento, City of",,,,,,,,,,,,,,,,,,,,,,,
411,West Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
412,Westborough Water District,,,,,,,,,,,,,,,,,,,,,,,
413,Western Municipal Water District of Riverside,,,,,,,,,,,,,,,,,,,,,,,
414,"Westminster, City of",,,,,,,,,,,,,,,,,,,,,,,
415,"Whittier, City of",,,,,,,,,,,,,,,,,,,,,,,
416,"Windsor, town of Water District",,,,,,,,,,,,,,,,,,,,,,,
417,"Woodland, City of",,,,,,,,,,,,,,,,,,,,,,,
418,Yorba Linda Water District,,,,,,,,,,,,,,,,,,,,,,,
419,"Yreka, City of",,,,,,,,,,,,,,,,,,,,,,,
420,"Yuba City, City of",,,,,,,,,,,,,,,,,,,,,,,
421,Yucaipa Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
