Code,District,"TOTAL Supply (2010, Af)","Local Groundwater (2010, AF)","Local Surface Water (2010, AF)","Local Desalination (2010, AF)","Local Recycled (2010, AF)","SFRW (2010, AF)","SWP (2010, AF)","Vallejo Permit (2010, AF)","Vallejo Treated (2010, AF)","Napa Treated (2010, AF)","TOTAL USE (2010, AF)","Residential (2010, AF)","Commercial (2010, AF)","Industrial (2010, AF)","Landscape (2010, AF)","Ag (2010, AF)","Institutional (2010, AF)",# Rebate Programs,,,,,
76,Central Basin Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
77,Central Coast Water Authority,,,,,,,,,,,,,,,,,,,,,,,
78,"Ceres, City of",,,,,,,,,,,,,,,,,,,,,,,
79,"Cerritos, City of",,,,,,,,,,,,,,,,,,,,,,,
80,"Chino, City of",,,,,,,,,,,,,,,,,,,,,,,
81,Chino Basin Desalter Authority,,,,,,,,,,,,,,,,,,,,,,,
82,"Chino Hills, City of",,,,,,,,,,,,,,,,,,,,,,,
83,Citrus Heights Water District,,,,,,,,,,,,,,,,,,,,,,,
84,"Clovis, City of",,,,,,,,,,,,,,,,,,,,,,,
85,"Coachella, City of",,,,,,,,,,,,,,,,,,,,,,,
86,Coachella Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
87,Coastside Co Water District,,,,,,,,,,,,,,,,,,,,,,,
88,"Colton, City of",,,,,,,,,,,,,,,,,,,,,,,
89,"Compton, City of",,,,,,,,,,,,,,,,,,,,,,,
90,Contra Costa Water District,,,,,,,,,,,,,,,,,,,,,,,
91,"Corona, City of",,,,,,,,,,,,,,,,,,,,,,,
92,Covina Irrigating Co,,,,,,,,,,,,,,,,,,,,,,,
93,"Crescent City, City of",,,,,,,,,,,,,,,,,,,,,,,
94,Crescenta Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
95,Crestline-Lake Arrowhead Water Agency,,,,,,,,,,,,,,,,,,,,,,,
96,Crestline Village Water District,,,,,,,,,,,,,,,,,,,,,,,
97,Cucamonga Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
98,"Daly City, City of",,,,,,,,,,,,,,,,,,,,,,,
99,Davis City of,,,,,,,,,,,,,,,,,,,,,,,
100,"Delano, City of",,,,,,,,,,,,,,,,,,,,,,,
101,Desert Water Agnecy,,,,,,,,,,,,,,,,,,,,,,,
102,Diablo Water District,,,,,,,,,,,,,,,,,,,,,,,
103,"Dinuba, City of",,,,,,,,,,,,,,,,,,,,,,,
104,"Downey, City of",,,,,,,,,,,,,,,,,,,,,,,
105,Dublin San Ramon Service District,,,,,,,,,,,,,,,,,,,,,,,
106,East Bay Municipal Utility District,,,,,,,,,,,,,,,,,,,,,,,
107,East Niles Community Services District,,,,,,,,,,,,,,,,,,,,,,,
108,East Orange County Water District,,,,,,,,,,,,,,,,,,,,,,,
109,"East Palo Alto, City of",,,,,,,,,,,,,,,,,,,,,,,
110,East Valley Water District,,,,,,,,,,,,,,,,,,,,,,,
111,Eastern Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
112,"El Centro, City of",,,,,,,,,,,,,,,,,,,,,,,
113,El Dorado Irrigation District,,,,,,,,,,,,,,,,,,,,,,,
114,"El Monte, City of",,,,,,,,,,,,,,,,,,,,,,,
115,El Toro Water District,,,,,,,,,,,,,,,,,,,,,,,
116,Elk Grove Water District,,,,,,,,,,,,,,,,,,,,,,,
117,Elsinore Valley Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
118,"Escondido, City of",,,,,,,,,,,,,,,,,,,,,,,
119,Estero Municipal-Foster City,,,,,,,,,,,,,,,,,,,,,,,
120,"Eureka, City of",,,,,,,,,,,,,,,,,,,,,,,
121,"Exeter, City of",,,,,,,,,,,,,,,,,,,,,,,
122,Fair Oaks Water District,,,,,,,,,,,,,,,,,,,,,,,
123,"Fairfield, City of",,,,,,,,,,,,,,,,,,,,,,,
124,Fallbrook PUD,,,,,,,,,,,,,,,,,,,,,,,
125,"Folsom, City of",,,,,,,,,,,,,,,,,,,,,,,
126,Foothill Municipal Water District,,,,,,,,,,,,,,,,,,,,,,,
