pwsid,pwsname,Region_2
3010073,Moulton Niguel Water District,South
3010079,El Toro Water District,South
3010082,Serrano Water District,South
3010094,Trabuco Canyon Water District,South
3010100,"La Palma, City of",South
3010101,Santa Margarita Water District,South
3110001,North Tahoe Public Utility District,Central Valley
3110004,"Lincoln, City of",Central Valley
3110008,"Roseville, City of",Central Valley
3110010,Tahoe City Public Utility,Central Valley
3110124,Placer County Water Agency,Central Valley
3310002,Beaumont-Cherry Valley Water District,South
3310003,"Blythe, City of",South
3310005,Desert Water Agnecy,South
3310007,"Coachella, City of",South
3310008,Mission Springs Water District,South
3310009,Eastern Municipal Water District,South
3310012,Elsinore Valley Municipal Water District,South
3310020,"Indio, City of",South
3310021,Jurupa Community Services District,South
3310022,Lake Hemet Municipal Water District,South
3310031,"Riverside, City of",South
3310032,"San Jacinto, City of",South
3310038,Rancho California Water District,South
3310044,Rubidoux Community Services District,South
3310049,Western Municipal Water District of Riverside,South
3410001,Sacramento Suburban Water District,Central Valley
3410002,Sacramento County Water Agency,Central Valley
3410004,Carmichael Water District,Central Valley
3410006,Citrus Heights Water District,Central Valley
3410008,Elk Grove Water District,Central Valley
3410009,Fair Oaks Water District,Central Valley
3410011,"Galt, City of",Central Valley
3410014,"Folsom, City of",Central Valley
3410015,Golden State Water Company - Cordova,Central Valley
3410016,Orange Vale Water Company,Central Valley
3410018,Rio Linda - Elverta Community Water District,Central Valley
3410020,"Sacramento, City of",Central Valley
3410021,San Juan Water District,Central Valley
3410023,Fruitridge Vista Water Co,Central Valley
3510001,Hollister Urban Area,North
3510003,Sunny Slope County Water District,North
3610001,"Adelanto, City of",South
3610003,Apple Valley Ranchos Water Company,South
3610004,West Valley Water District,South
3610008,Big Bear Community Services District,South
3610012,"Chino, City of",South
3610013,"Loma Linda, City of",South
3610014,"Colton, City of",South
3610015,Crestline Village Water District,South
3610018,Cucamonga Valley Water District,South
3610019,San Bernardino Valley Regional Urban Water Management Alliance,South
3610024,"Hesperia, City of Water District",South
3610025,Joshua Basin Water District,South
3610029,Monte Vista Water District,South
3610034,"Ontario, City of",South
3610036,"Chino Hills, City of",South
3610037,"Redlands, City of",South
3610038,"Rialto, City of",South
3610043,Golden State Water Company - Barstow,South
3610045,"Big Bear Lake, City of",South
3610049,Twentynine Palms Water District,South
3610050,"Upland, City of",South
3610052,Victorville Water District,South
3610055,Yucaipa Valley Water District,South
3610057,Riverside Highland Water Company,South
3610064,East Valley Water District,South
3610073,Hi-Desert WD,South
3610120,Phelan Pinon Hills Community Services District,South
3610121,San Bernardino County Service Area 64,South
3710001,CA-American Water - San Diego,South
3710002,Vallecitos Water District,South
3710005,Carlsbad Municipal Water District,South
3710006,"Escondido, City of",South
3710008,Fallbrook PUD,South
3710010,Helix Water District,South
3710013,Lakeside Water District,South
3710014,"Oceanside, City of",South
3710015,"Poway, City of",South
3710016,Rainbow Municipal Water District,South
3710019,Ramona Municipal Water District,South
3710020,"San Diego, City of",South
3710021,San Dieguito Water District,South
3710023,Santa Fe Irrigation District,South
3710025,Sweetwater Authority,South
3710026,Valley Center Municipal Water District,South
3710027,Vista Irrigation District,South
3710029,"Olivenhain, City of",South
3710034,Otay Water District,South
3710042,San Diego County Water Authority,South
3710044,Rincon del Diablo Municipal Water District,South
3810011,San Francisco Public Utilities Commission,North
3910001,CA Water Sercice Co - Stockton,Central Valley
3910004,"Lodi, City of",Central Valley
3910006,Stockton East Water District,Central Valley
3910011,"Tracy, City of",North
3910012,"Stockton, City of",Central Valley
4010001,"Arroyo Grande, City of",North
4010004,"Grover Beach, City of",North
4010007,"Paso Robles, City of",North
4010008,"Pismo Beach, City of",North
4010009,"San Luis Obispo, City of",North
4010011,"Morro Bay, City of",North
4010014,Cambria Community Services District,North
4010026,Nipomo Community Services District,North
4110001,Mid-Peninsula Water District,North
4110003,"Burlingame, City of",North
4110006,CA Water Service Co - Bear Gulch,North
4110008,CA Water Service Co - Mid Peninsula District,North
4110009,CA Water Service Co - South San Francisco,North
4110011,Coastside Co Water District,North
4110013,"Daly City, City of",North
4110016,"Hillsborough, Town of",North
4110017,"Menlo Park, City of",North
4110018,"Millbrae, City of",North
4110021,Estero Municipal-Foster City,North
4110022,"Redwood City, City of",North
4110023,"San Bruno, City of",North
4110024,"East Palo Alto, City of",North
4110025,North Coast County Water District,North
4110027,Westborough Water District,North
4210001,Carpenteria Valley Water District,South
4210004,Goleta Water District,South
4210006,"Lompoc, City of",North
4210010,"Santa Barbara, City of",South
4210011,"Santa Maria, City of",North
4210016,Golden State Water Company - Orcutt,North
4310001,Ca Water Service Co - Los Altos Suburban District,North
4310004,"Gilroy, City of",North
4310005,"Milpitas, City of",North
4310006,"Morgan Hill, City of",North
4310007,"Mountain View, City of",North
4310009,"Palo Alto, City of",North
4310011,San Jose Water Company,North
4310012,"Santa Clara, City of",North
4310014,"Sunnyvale, City of",North
4310020,"San Jose, City of",North
4310022,Great Oaks Water Company,North
4310027,Santa Clara Valley Water District,North
4410010,"Santa Cruz, City of",North
4410011,"Watsonville, City of",North
4410013,Scotts Valley Water District,North
4410017,Soquel Creek Water District,North
4510005,"Redding, City of",Central Valley
4510006,"Shasta Lake, City of",Central Valley
4710011,"Yreka, City of",North
4810001,"Benecia, City of",North
4810002,CA Water Service Co - Dixon District,Central Valley
4810003,"Fairfield, City of",North
4810004,"Rio Vista, City of",Central Valley
4810007,"Vallejo, City of",North
4810008,"Vacaville, City of",North
4910004,Sweetwater Springs Water District,North
4910006,"Petaluma, City of",North
4910009,"Santa Rosa, City of",North
4910012,"Sonoma, City of",North
4910013,Valley of the Moon Water District,North
4910014,"Rohnert Park, City of",North
4910017,"Windsor, town of Water District",North
4910018,CA Water Service Co - Redwood Valley,North
5010017,"Patterson, City of",Central Valley
5010018,"Riverbank, City of",Central Valley
5010019,"Turlock, City of",Central Valley
5010028,"Ceres, City of",Central Valley
5010033,"Modesto, City of",Central Valley
5010038,Modesto Irrigation District,Central Valley
5010040,South San Joaquin Irrigation District,Central Valley
5110002,"Yuba City, City of",Central Valley
5210004,"Red Bluff, City of",Central Valley
5410002,"Dinuba, City of",Central Valley
5410003,"Exeter, City of",Central Valley
5410010,"Porterville, City of",Central Valley
5410015,"Tulare, City of",Central Valley
5410041,CA Water Service Co - Visalia,Central Valley
5510003,Tuolumne Utilities District,Central Valley
5510009,Groveland Community Services District,Central Valley
5610007,"Oxnard, City of",South
5610009,"Port Hueneme, City of",South
5610011,"Santa Paula, City of",South
5610014,Golden State Water Company - Ojai,South
5610019,"Camarillo, City of",South
5610023,Ventura County Waterworks District #8,South
5610024,Casitas Municipal Water District,South
5610040,CA-American Water - Ventura,South
5610043,Triunfo Sanitation District,South
5610046,United Water Conservation District,South
5610050,Calleguas Municipal Water District,South
5610059,Golden State Water Company - Simi Valley,South
5610063,Camrosa Water District,South
5610080,Port Hueneme Water Agency,South
5710001,Davis City of,Central Valley
5710003,"West Sacramento, City of",Central Valley
5710006,"Woodland, City of",Central Valley
5810001,CA Water Service Co - Marysville,Central Valley
5810002,Linda County Water District,Central Valley
5810003,Olivehurst Public Utilities District,Central Valley
