"","sp.pwsid","sp.name","dat.pwsid","dat.name"
"82","1910036","CALIFORNIA WATER SERVICE CO. - ELA F","1910036","CA Water Service Co - East Los Angeles District"
"83","1910038","EL MONTE-CITY, WATER DEPT.","1910038","El Monte, City of"
"84","1910041","THREE VALLEYS MWD","1910041","Three Valleys Municipal Water District"
"85","1910042","PICO RIVERA - CITY, WATER DEPT.","1910042","Pico Rivera, City of"
"86","1910043","GLENDALE-CITY, WATER DEPT.","1910043","Glendale, City of"
"87","1910044","GLENDORA-CITY, WATER DEPT.","1910044","Glendora, City of"
"88","1910047","HAWTHORNE-CITY WATER DEPT.","1910047","Hawthorne, City of"
"89","1910048","CASTAIC LAKE WATER AGENCY","1910048","Castaic Lake Water Agency"
"90","1910049","HUNTINGTON PARK-CITY, WATER DEPT.","1910049","Huntington Park, City of"
"91","1910051","INGLEWOOD- CITY, WATER DEPT.","1910051","Inglewood, City of"
"92","1910052","CAL/AM WATER COMPANY - BALDWIN HILLS","1910052","CA-American Water - Los Angeles"
"93","1910059","SUBURBAN WATER SYSTEMS-LA MIRADA","1910059","Suburban Water Systems Whittier-La Mirada"
"94","1910062","LA VERNE, CITY WD","1910062","La Verne, City of"
"95","1910063","LINCOLN AVENUE WATER CO.","1910063","Lincoln Avenue Water Company"
"96","1910065","LONG BEACH-CITY, WATER DEPT.","1910065","Long Beach Water Department"
"97","1910067","LOS ANGELES-CITY, DEPT. OF WATER & POWER","1910067","Los Angeles Department of Water and Power"
"98","1910073","LOMITA-CITY, WATER DEPT.","1910073","Lomita, City of"
"99","1910077","GSWC - FLORENCE/GRAHAM","1910077","Golden State Water Company - Florence-Graham"
"100","1910079","LYNWOOD-CITY, WATER DEPT.","1910079","Lynwood, City of"
"101","1910083","MANHATTAN BEACH-CITY, WATER DEPT.","1910083","Manhattan Beach, City of"
"102","1910087","METROPOLITAN WATER DIST. OF SO. CAL.","1910087","Metropolitan Water District of Southern California"
"103","1910090","MONROVIA-CITY, WATER DEPT.","1910090","Monrovia, City of"
"104","1910091","MONTEBELLO LAND & WATER CO.","1910091","Montebello Land and Water Company"
"105","1910096","NEWHALL CWD-NEWHALL","1910096","Newhall County Water District"
"106","1910098","GSWC - NORWALK","1910098","Golden State Water Company - Norwalk"
"107","1910101","ORCHARD DALE WATER DISTRICT","1910101","Orchard Dale Water District"
"108","1910102","PALMDALE WATER DIST.","1910102","Palmdale Water District"
"109","1910104","CALIFORNIA WATER SERVICE CO. - PALOS VER","1910104","CA Water Service Co - Palos Verdes"
"110","1910105","PARAMOUNT - CITY, WATER DEPT.","1910105","Paramount, City of"
"111","1910124","PASADENA-CITY, WATER DEPT.","1910124","Pasadena, City of"
"112","1910125","PICO WD","1910125","Pico Water District"
"113","1910126","POMONA - CITY, WATER DEPT.","1910126","Pomona, City of"
"114","1910130","QUARTZ HILL WATER DIST.","1910130","Quartz Hill Water District"
"115","1910134","CALIFORNIA WATER SERVICE CO. - HERM/REDO","1910134","CA Water Service Co - Hermosa Redondo District"
"116","1910140","RUBIO CANON LAND & WATER ASSOCIATION","1910140","Rubio Canyon Land & Water Assoc"
"117","1910142","GSWC-SAN DIMAS","1910142","Golden State Water Company - San Dimas"
"118","1910143","SAN FERNANDO-CITY, WATER DEPT.","1910143","San Fernando, City of"
"119","1910144","SAN GABRIEL COUNTY WD","1910144","San Gabriel County Water District"
"120","1910146","SANTA MONICA-CITY, WATER DIVISION","1910146","Santa Monica, City of"
"121","1910148","SIERRA MADRE-CITY, WATER DEPT.","1910148","Sierra Madre, City of"
"122","1910152","SOUTH GATE-CITY, WATER DEPT.","1910152","South Gate, City of"
"123","1910154","CITY OF SOUTH PASADENA","1910154","South Pasadena, City of"
"124","1910155","GSWC - SOUTHWEST","1910155","Golden State Water Company - Southwest"
"125","1910156","BEVERLY HILLS-CITY, WATER DEPT.","1910156","Beverly Hills, City of"
"126","1910157","SUNNY SLOPE WATER CO.","1910157","Sunny Slope Water Company"
"127","1910166","VALLEY WATER CO.","1910166","Valley Water Company"
"128","1910167","VERNON-CITY, WATER DEPT.","1910167","Vernon, City of"
"129","1910173","WHITTIER-CITY, WATER DEPT.","1910173","Whittier, City of"
"130","1910179","BURBANK-CITY, WATER DEPT.","1910179","Burbank, City of"
"131","1910189","SAN GABRIEL VALLEY WATER CO.-MONTEBELLO","1910189","San Gabriel Valley Municipal Water District"
"132","1910191","NORWALK - CITY, WATER DEPT.","1910191","Norwalk, City of"
"133","1910194","ROWLAND WATER DISTRICT","1910194","Rowland Water District"
"134","1910200","SUBURBAN WATER SYSTEMS-COVINA KNOLLS","1910200","Suburban Water Systems - San Jose Hills"
"135","1910204","LOS ANGELES CO WW DISTRICT 29 & 80-MALIB","1910204","Los Angeles County Water District #29"
"136","1910212","GSWC-SOUTH ARCADIA","1910212","Golden State Water Company - South Arcadia"
"137","1910213","TORRANCE-CITY, WATER DEPT.","1910213","Torrance, City of"
"138","1910223","GSWC-SOUTH SAN GABRIEL","1910223","Golden State Water Company - South San Gabriel"
"139","1910225","LAS VIRGENES MWD","1910225","Las Virgenes Water District"
"140","1910234","WALNUT VALLEY WATER DISTRICT","1910234","Walnut Valley Water District"
"141","1910239","LAKEWOOD - CITY, WATER DEPT.","1910239","Lakewood, City of"
"142","1910240","VALENCIA WATER CO.","1910240","Valencia Water Company"
"143","1910245","SANTA FE SPRINGS - CITY, WATER DEPT.","1910245","Santa Fe Springs, City of"
"144","1910253","CENTRAL BASIN MWD","1910253","Central Basin Municipal Water District"
"145","2010002","MADERA-CITY","2010002","Madera, City of"
"146","2110002","MARIN MUNICIPAL WATER DISTRICT","2110002","Marin Municipal Water District"
"147","2110003","NORTH MARIN WATER DISTRICT","2110003","North Marin Water District"
"148","2310003","UKIAH, CITY OF","2310003","Ukiah, City of"
"149","2410005","LOS BANOS-CITY","2410005","Los Banos, City of"
"150","2410009","MERCED, CITY OF","2410009","Merced, City of"
"151","2610001","MAMMOTH CWD","2610001","Mammoth Community Water District"
"152","2701202","CAL AM WATER COMPANY - CHUALAR","2701202","CA-American Water - Monterey District"
"153","2710009","CWSC KING CITY","2710009","CA Water Service Co - King City"
"154","2710010","CWSC SALINAS","2710010","CA Water Service Co - Salinas"
"155","2710011","SOLEDAD, CITY OF","2710011","Soledad, City of"
"156","2710017","MARINA COAST WATER DISTRICT","2710017","Marina Coast Water District"
"157","2810003","NAPA, CITY OF","2810003","Napa, City of"
"158","2810005","AMERICAN CANYON, CITY OF","2810005","American Canyon, City of"
"159","2910003","TRUCKEE-DONNER PUD, MAIN","2910003","Truckee-Donner Public Utilities District"
"160","3010001","CITY OF ANAHEIM","3010001","Anaheim, City of"
"161","3010002","CITY OF BREA","3010002","Brea, City of"
"162","3010003","CITY OF BUENA PARK","3010003","Buena Park, City of"
"163","3010004","MESA WATER DISTRICT","3010004","Mesa Consolidated Water District"
"164","3010010","CITY OF FULLERTON","3010010","Fullerton, City of"
"165","3010017","LAGUNA BEACH COUNTY WD","3010017","Laguna Beach County Water District"
"166","3010018","CITY OF LA HABRA","3010018","La Habra, City of"
"167","3010022","GOLDEN STATE WC - WEST ORANGE","3010022","Golden State Water Company - West Orange"
"168","3010023","CITY OF NEWPORT BEACH","3010023","Newport Beach, City of"
"169","3010027","CITY OF ORANGE","3010027","Orange, City of"
"170","3010030","CITY OF SAN JUAN CAPISTRANO","3010030","San Juan Capistrano, City of"
"171","3010035","GOLDEN STATE WC - PLACENTIA","3010035","Golden State Water Company - Placentia"
"172","3010036","CITY OF SAN CLEMENTE","3010036","San Clemente, City of"
"173","3010037","YORBA LINDA WATER DISTRICT","3010037","Yorba Linda Water District"
"174","3010038","CITY OF SANTA ANA","3010038","Santa Ana, City of"
"175","3010041","CITY OF SEAL BEACH","3010041","Seal Beach, City of"
"176","3010042","SOUTH COAST WD - SOUTH COAST","3010042","South Coast Water District"
"177","3010046","CITY OF TUSTIN","3010046","Tustin, City of"
"178","3010047","GOLDEN STATE WC - COWAN HEIGHTS","3010047","Golden State Water Company - Cowan Heights"
"179","3010053","CITY OF HUNTINGTON BEACH","3010053","Huntington Beach, City of"
"180","3010062","CITY OF GARDEN GROVE","3010062","Garden Grove, City of"
"181","3010064","CITY OF WESTMINSTER","3010064","Westminster, City of"
"182","3010068","EAST ORANGE COUNTY WD - RZ","3010068","East Orange County Water District"
"183","3010069","CITY OF FOUNTAIN VALLEY","3010069","Fountain Valley, City of"
"184","3010073","MOULTON NIGUEL WATER DISTRICT","3010073","Moulton Niguel Water District"
"185","3010079","EL TORO WATER DISTRICT","3010079","El Toro Water District"
"186","3010082","SERRANO WATER DISTRICT","3010082","Serrano Water District"
"187","3010092","IRVINE RANCH WATER DISTRICT","3010092","Irvine Ranch Water District"
"188","3010094","TRABUCO CANYON WATER DISTRICT","3010094","Trabuco Canyon Water District"
"189","3010100","CITY OF LA PALMA","3010100","La Palma, City of"
"190","3010101","SANTA MARGARITA WATER DISTRICT","3010101","Santa Margarita Water District"
"191","3110001","NORTH TAHOE PUD - MAIN","3110001","North Tahoe Public Utility District"
"192","3110004","CITY OF LINCOLN","3110004","Lincoln, City of"
"193","3110008","CITY OF ROSEVILLE","3110008","Roseville, City of"
"194","3110010","TAHOE CITY PUD - MAIN","3110010","Tahoe City Public Utility"
"195","3110124","PLACER CWA - MONTE VISTA","3110124","Placer County Water Agency"
"196","3310002","BEAUMONT CHERRY VALLEY WD","3310002","Beaumont-Cherry Valley Water District"
"197","3310003","BLYTHE - CITY OF","3310003","Blythe, City of"
"198","3310005","DESERT WATER AGENCY","3310005","Desert Water Agnecy"
"199","3310007","COACHELLA WATER AUTHORITY","3310007","Coachella, City of"
