"","sp.pwsid","sp.name","dat.pwsid","dat.name"
"349","4910017","WINDSOR, TOWN OF","4910017","Windsor, town of Water District"
"350","4910018","ARMSTRONG VALLEY-CAL WATER SERVICE (PUC)","4910018","CA Water Service Co - Redwood Valley"
"351","5010017","PATTERSON, CITY OF","5010017","Patterson, City of"
"352","5010018","RIVERBANK, CITY OF","5010018","Riverbank, City of"
"353","5010019","TURLOCK, CITY OF","5010019","Turlock, City of"
"354","5010028","CERES, CITY OF","5010028","Ceres, City of"
"355","5010033","CITY OF MODESTO, DE GRAYSON","5010033","Modesto, City of"
"356","5010038","MODESTO IRRIGATION DISTRICT","5010038","Modesto Irrigation District"
"357","5010040","SOUTH SAN JOAQUIN IRRIGATION DISTRICT","5010040","South San Joaquin Irrigation District"
"358","5110002","CITY OF YUBA CITY","5110002","Yuba City, City of"
"359","5210004","CITY OF RED BLUFF","5210004","Red Bluff, City of"
"360","5410002","DINUBA, CITY OF","5410002","Dinuba, City of"
"361","5410003","EXETER, CITY OF","5410003","Exeter, City of"
"362","5410010","PORTERVILLE, CITY OF","5410010","Porterville, City of"
"363","5410015","TULARE, CITY OF","5410015","Tulare, City of"
"364","5410041","CWS - TULCO WATER COMPANY","5410041","CA Water Service Co - Visalia"
"365","5510003","TUD - TUOLUMNE WATER SYSTEM","5510003","Tuolumne Utilities District"
"366","5510009","GROVELAND COMMUNITY SERV DIST","5510009","Groveland Community Services District"
"367","5610007","OXNARD WATER DEPT","5610007","Oxnard, City of"
"368","5610009","PORT HUENEME WATER DEPT","5610009","Port Hueneme, City of"
"369","5610011","SANTA PAULA WATER SYSTEM","5610011","Santa Paula, City of"
"370","5610014","GOLDEN STATE WATER COMPANY - OJAI","5610014","Golden State Water Company - Ojai"
"371","5610017","VENTURA WATER DEPARTMENT","5610017","San Buenaventura, City of"
"372","5610019","CAMARILLO WATER DEPT","5610019","Camarillo, City of"
"373","5610023","VENTURA WWD NO. 8 - SIMI VALLEY","5610023","Ventura County Waterworks District #8"
"374","5610024","CASITAS MUNICIPAL WATER DIST","5610024","Casitas Municipal Water District"
"375","5610040","CAL AMERICAN WATER CO","5610040","CA-American Water - Ventura"
"376","5610043","OAK PARK WATER SERVICE","5610043","Triunfo Sanitation District"
"377","5610046","UNITED WTR CONS DIST","5610046","United Water Conservation District"
"378","5610050","CALLEGUAS MUNICIPAL WATER DIST","5610050","Calleguas Municipal Water District"
"379","5610059","GOLDEN STATE WATER COMPANY - SIMI","5610059","Golden State Water Company - Simi Valley"
"380","5610063","CAMROSA WATER DISTRICT","5610063","Camrosa Water District"
"381","5610080","PORT HUENEME WATER AGENCY","5610080","Port Hueneme Water Agency"
"382","5710001","CITY OF DAVIS","5710001","Davis City of"
"383","5710003","CITY OF WEST SACRAMENTO","5710003","West Sacramento, City of"
"384","5710006","CITY OF WOODLAND","5710006","Woodland, City of"
"385","5810001","CAL-WATER SERVICE CO.-MARYSVILLE","5810001","CA Water Service Co - Marysville"
"386","5810002","LINDA COUNTY WATER DISTRICT","5810002","Linda County Water District"
"387","5810003","OLIVEHURST PUBLIC U.D.","5810003","Olivehurst Public Utilities District"
