"pwsname","pwsid","severity"
"CA-American Water - Monterey District",2701202,191.3206
"CA Water Service Co - King City",2710009,191.3206
"CA Water Service Co - Salinas",2710010,169.9779
"Soledad, City of",2710011,191.3206
"Marina Coast Water District",2710017,161.1857
"Napa, City of",2810003,114.87625
"American Canyon, City of",2810005,100.9093
"Truckee-Donner Public Utilities District",2910003,180.5415
"Anaheim, City of",3010001,154.0439
"Brea, City of",3010002,179.8853
"Buena Park, City of",3010003,179.8853
"Mesa Consolidated Water District",3010004,141.1232
"Fullerton, City of",3010010,179.8853
"Laguna Beach County Water District",3010017,147.19325
"La Habra, City of",3010018,179.8853
"Golden State Water Company - West Orange",3010022,180.94265
"Newport Beach, City of",3010023,131.5443
"Orange, City of",3010027,154.7488
"San Juan Capistrano, City of",3010030,112.3865
"Golden State Water Company - Placentia",3010035,140.06585
"San Clemente, City of",3010036,112.3865
"Yorba Linda Water District",3010037,140.06585
"Santa Ana, City of",3010038,154.7488
"Seal Beach, City of",3010041,180.94265
"South Coast Water District",3010042,112.3865
"Tustin, City of",3010046,141.1232
"Golden State Water Company - Cowan Heights",3010047,141.1232
"Huntington Beach, City of",3010053,141.1232
"Garden Grove, City of",3010062,154.0439
"Westminster, City of",3010064,182
"East Orange County Water District",3010068,141.1232
"Fountain Valley, City of",3010069,141.1232
"Moulton Niguel Water District",3010073,147.19325
"El Toro Water District",3010079,147.19325
"Serrano Water District",3010082,100.2464
"Irvine Ranch Water District",3010092,131.5443
"Trabuco Canyon Water District",3010094,131.5443
"La Palma, City of",3010100,179.8853
"Santa Margarita Water District",3010101,112.3865
"North Tahoe Public Utility District",3110001,177.0057
"Lincoln, City of",3110004,159.7735
"Roseville, City of",3110008,166.82695
"Tahoe City Public Utility",3110010,178.7736
"Placer County Water Agency",3110124,161.9822
"Beaumont-Cherry Valley Water District",3310002,50.1419
"Blythe, City of",3310003,-133.4789
"Desert Water Agnecy",3310005,25.08965
"Coachella, City of",3310007,-12.0242
"Mission Springs Water District",3310008,-12.0242
"Eastern Municipal Water District",3310009,57.5306
"Elsinore Valley Municipal Water District",3310012,88.633275
"Hemet, City of",3310016,70.9501
"Indio, City of",3310020,-12.0242
"Jurupa Community Services District",3310021,100.2464
"Lake Hemet Municipal Water District",3310022,62.2035
"Riverside, City of",3310031,100.2464
"San Jacinto, City of",3310032,62.2035
"Corona, City of",3310037,100.2464
"Rancho California Water District",3310038,84.7622333333334
"Rubidoux Community Services District",3310044,100.2464
"Western Municipal Water District of Riverside",3310049,88.633275
"Sacramento Suburban Water District",3410001,173.8804
"Sacramento County Water Agency",3410002,166.82695
"Carmichael Water District",3410004,173.8804
"Citrus Heights Water District",3410006,173.8804
"Elk Grove Water District",3410008,168.65665
"Fair Oaks Water District",3410009,173.8804
"Galt, City of",3410011,177.5398
"CA-American Water - Sacramento",3410012,166.82695
"Folsom, City of",3410014,164.7257
"Golden State Water Company - Cordova",3410015,166.82695
"Orange Vale Water Company",3410016,173.8804
"Rio Linda - Elverta Community Water District",3410018,166.82695
"Sacramento, City of",3410020,166.82695
"San Juan Water District",3410021,165.89335
"Fruitridge Vista Water Co",3410023,159.7735
"Hollister Urban Area",3510001,180.8032
"Sunny Slope County Water District",3510003,180.8032
"Adelanto, City of",3610001,34.6047
"Apple Valley Ranchos Water Company",3610003,-0.911200000000002
"West Valley Water District",3610004,100.2464
"Big Bear Community Services District",3610008,31.90965
